Name,Current_Skills,Wanted_skills,Age,College,Attendance,Biography
Edward Sapir,"['Backpacking', 'Softball', 'Dodgeball']","['Gymnastics', 'Radio-controlled model playing', 'Philosophy', 'Knife collecting']",97,Cabrillo College,phd,"I’m Edward Sapir, and at 97 years old, I’ve accumulated a diverse set of skills over the years, particularly in outdoor activities like backpacking and sports such as softball and dodgeball. My journey has taken me through an enriching academic path at Cabrillo College, where I pursued my PhD. While I enjoy sharing what I've learned with others, I’m always on the lookout for opportunities to grow myself. There’s something intriguing about the world of gymnastics and the precision that comes with it, not to mention the thrill of radio-controlled model playing. Philosophy has also piqued my interest; I often find myself pondering life’s big questions and would love to delve deeper into those discussions with someone who shares that passion. Lastly, knife collecting has caught my attention, and I’m eager to learn about the history and craftsmanship behind different pieces. Connecting with others who can teach me these skills is something I genuinely look forward to, as I believe there’s always room for growth, no matter your age."
Ethan Allen,"['Racquetball', 'Climbing', 'Motor sports', 'Snowboarding']","['jurisprudential', 'Notaphily\xa0(banknote collecting)', 'Fencing']",98,Santa Cruz County Regional Occupation Program,masters,"I'm Ethan Allen, a 98-year-old lifelong learner with a passion for sharing what I know and soaking up new experiences. After spending years honing my skills in racquetball, climbing, motor sports, and snowboarding, I’ve found immense joy in teaching others the ins and outs of these activities. I believe that learning is a two-way street, and I’m constantly on the lookout for opportunities to expand my horizons. While I can confidently guide someone through a racquetball match or share tips for an exhilarating climb, I’m equally eager to dive into new subjects myself. I’ve developed a curiosity for jurisprudential concepts and the art of notaphily—banknote collecting has always intrigued me. Fencing also fascinates me, with its blend of strategy and skill. My educational journey took me through the Santa Cruz County Regional Occupation Program, where I focused on mastering various crafts. I find that every encounter, be it with a student or a mentor, enriches my understanding and keeps me engaged in this ever-evolving world."
Edgar Rice Burroughs,"['Blacksmithing', 'Model United Nations', 'Neuroscience', 'Antiquities']","['Entrepreneurship', 'Color guard']",34,"CSUMB - California State University, Monterey Bay",phd,"I’m Edgar Rice Burroughs, a 34-year-old PhD student at California State University, Monterey Bay. My academic journey has taken me through some fascinating terrain, particularly in neuroscience and antiquities. I’ve spent quite a bit of time honing my skills in blacksmithing and engaging in Model United Nations, which has helped me develop a unique perspective on collaboration and diplomacy. I’m passionate about sharing what I know with others, always eager to teach those interested in these areas. Despite feeling pretty solid in those skills, I’m on the lookout for guidance in entrepreneurship and even color guard—two fields that intrigue me but where I still have much to learn. I find that connecting with others and exchanging knowledge not only sharpens my skills but also offers fresh insights that I hadn’t considered before. Each interaction is a chance to grow, and I appreciate the value in both teaching and learning."
Eugene Wigner,"['Sculling\xa0or\xa0rowing', 'Stuffed toy collecting', 'Amusement park visiting']","['Race walking', 'Pickleball']",25,Cabrillo College,undergraduate,"I'm Eugene Wigner, a 25-year-old undergraduate at Cabrillo College, where I'm constantly trying to expand my horizons. I find joy in sculling and rowing, and I’ve built a decent collection of stuffed toys that I love to share stories about. Amusement parks are my favorite playgrounds, and I often explore new attractions and rides with friends. While I enjoy teaching others about these interests, I'm also on the lookout for new experiences. I've recently developed a curiosity for race walking and pickleball, but I haven't quite figured them out yet. I believe there's so much to learn from the people around me, and I'm always eager to soak up knowledge and skills from those who are passionate about what they do. Balancing my studies with these hobbies keeps me engaged, and I appreciate the connections I make along the way."
Elias Boudinot,"['Crystals', 'Sun bathing', 'Graffiti', 'jurisprudential']",['Graffiti'],18,UCSC - University of California at Santa Cruz,phd,"I'm Elias Boudinot, an 18-year-old PhD student at UCSC, navigating the fascinating world of academia and personal growth. I've developed a few skills along the way, like working with crystals, sunbathing effectively, and dabbling in graffiti, which I find to be an intriguing form of expression. While I’m happy to share what I know, I have a strong desire to learn more about graffiti techniques from those who are more experienced. I believe there’s always something new to grasp from others, and I'm eager to soak up knowledge like a sponge. My academic journey is just one part of my life—I'm constantly on the lookout for opportunities to expand my horizons, whether through collaboration or conversations with peers. I enjoy exploring various perspectives and ideas, and I think that’s where real growth happens. I aim to refine my skills while contributing to the creativity around me."
Eve Arden,['Ant-keeping'],"['Radio-controlled model playing', 'Cycling']",24,Santa Cruz County Regional Occupation Program,,"I'm Eve Arden, and at 24, I've found a unique passion in ant-keeping. It's fascinating to observe these tiny creatures and their complex societies. I love sharing what I've learned with others, whether it's about their habitats or care. While I enjoy teaching about ants, I'm always on the lookout for new skills to acquire. I've been eyeing radio-controlled model playing; there's something about the precision and creativity involved that intrigues me. Cycling is another skill I wish I could master—there's a sense of freedom that comes with it that I haven't experienced yet. I attended the Santa Cruz County Regional Occupation Program, which opened my eyes to various interests and avenues for personal growth. I believe that learning from others is one of the best ways to develop, and I'm excited about the potential collaborations and exchanges that lie ahead. There’s always something new to discover, and I'm eager to dive into these experiences."
Elyssa Davalos,"['Fossicking', 'Car riding']","['Racquetball', 'Marbles', 'Teaching', 'Ant-keeping']",64,Santa Cruz County Office of Education,masters,"I’m Elyssa Davalos, and at 64, I find myself in a constant pursuit of growth and learning. My journey has taken me through a variety of experiences, from fossicking to car riding, which I enjoy sharing with others. I’ve always believed that skills are best honed through collaboration and teaching, so I’m eager to pass on what I know. However, I’m also keen to learn new things—racquetball, marbles, and even the art of ant-keeping have caught my eye lately. I earned my master’s degree through the Santa Cruz County Office of Education, which opened my eyes to the value of knowledge exchange. Each interaction is a chance to discover something new, and I appreciate the insights others offer. Whether it’s a casual game or in-depth discussions about teaching strategies, I’m always looking for ways to expand my horizons. Life has a way of keeping you curious, and I intend to ride that wave for as long as I can."
Elie Wiesel,"['Scouting', 'Vacation']","['Ultimate frisbee', 'Table tennis playing', 'Australian rules football', 'Lapel pins', 'Trapshooting']",37,Did not attend college,,"I’m Elie Wiesel, 37 years old, and I’ve always had a passion for connecting with people through shared experiences. My background in scouting has taught me valuable lessons about leadership and teamwork, and I enjoy passing those skills on to others. I also love planning vacations—there’s something about organizing trips that brings me immense satisfaction. However, I’m not one to shy away from learning new things. There are plenty of skills I’m eager to pick up, like mastering ultimate frisbee or table tennis. I often find myself intrigued by sports that aren’t as mainstream, like Australian rules football, and I’ve recently developed a curiosity about trapshooting. I’m also keen to learn about the art of lapel pins, as I think they add a nice touch to any outfit. I didn’t attend college, but I’ve always believed that learning doesn’t have to come from traditional paths. I value the insights and experiences of those around me and am open to wherever the next lesson might come from."
Frank Zappa,"['Geocaching', 'publishing', 'Mini Golf']","['Color guard', 'Volleyball']",38,Cabrillo College,undergraduate,"I'm Frank Zappa, and at 38, I've found that the journey of learning is just as exciting as the destination. I attended Cabrillo College, where I picked up a variety of skills, including geocaching, publishing, and a surprisingly competitive knack for mini golf. I enjoy sharing what I know with others, as I believe teaching is a two-way street that can lead to unexpected insights and growth. While I feel confident in these areas, I'm also on the lookout for new challenges. I’ve always been intrigued by color guard and volleyball, and I wish I could find someone willing to share their expertise with me. I appreciate the opportunity to learn from others, as it not only enhances my own abilities but also fosters a sense of community. Whether it’s collaborating on a project or just swapping tips on the green, I’m all about those exchanges that make us better. Life’s too short to stay stagnant, and I’m eager to see where this learning journey takes me next."
Felix Bloch,"['Mycology', 'Storm chasing', 'Sculling\xa0or\xa0rowing']","['Radio-controlled model playing', 'Color guard', 'Renaissance fair']",46,Santa Cruz County Office of Education,masters,"I'm Felix Bloch, a 46-year-old with a penchant for curiosity and a drive to learn from those around me. My journey has taken me through various interests, from the fascinating world of mycology to the exhilarating thrill of storm chasing. I've spent considerable time honing my skills in sculling, and I'm always eager to share what I know with others. Education has played a significant role in my life, particularly during my time at the Santa Cruz County Office of Education, where I earned my master's degree. Even with my background, I find that there’s always more to explore. I have a particular interest in radio-controlled model playing, color guard, and immersing myself in the vibrant atmosphere of Renaissance fairs—areas where I’d love to learn from those who have experience. Meeting people with diverse passions not only enriches my own knowledge but also fosters a sense of community. Each interaction is an opportunity to grow, and I’m always on the lookout for new connections that can lead to shared experiences and skills."
Fay Wray,"['Horsemanship', 'Renovating']",['Lapel pins'],39,Did not attend college,,"I’m Fay Wray, and I’m 39 years old. My journey has been shaped by a passion for hands-on skills, particularly in horsemanship and renovating spaces. Growing up, I spent countless hours around horses, which taught me not just about riding but also about responsibility and trust. Renovating has become a way for me to express creativity, breathing new life into old spaces. Although I didn’t attend college, I’ve always believed that learning happens outside of traditional classrooms. I enjoy connecting with others who have different perspectives and skills, and I’m always eager to pick up new knowledge. One area I’m particularly interested in is lapel pins—there’s something intriguing about the art and history behind them. I hope to find someone who can share their expertise with me. I value the exchange of skills and ideas, and I think there’s immense potential for growth when we learn from each other. It’s all about the journey of exploration and improvement, and I’m here for it."
Fiorello La Guardia,"['Kitesurfing', 'Jogging', 'Parkour', 'Graffiti']",['Jujitsu'],57,Cabrillo College,undergraduate,"I’m Fiorello La Guardia, a 57-year-old who’s always on the lookout for new experiences and ways to level up my skills. Growing up, I found a passion for kitesurfing and parkour, which keeps my adrenaline pumping and my body active. I enjoy jogging, especially along the coast, where the ocean breeze makes it feel less like exercise and more like an escape. I’ve also dabbled in graffiti art, finding it to be an expressive outlet that combines creativity with a bit of rebellion. Currently, I’m studying at Cabrillo College, immersing myself in the undergraduate experience and connecting with diverse minds. I have a keen interest in learning jujitsu, a skill I find fascinating and one that I hope to explore more deeply. I believe that each interaction has something valuable to offer, and I’m always eager to learn from others, whether it's in the form of tips on mastering a new technique or simply sharing stories of our journeys."
Fred Savage,"['Ice skating', 'Aerospace', 'Herping', 'Flying', 'Graffiti']","['Sea glass collecting', 'Judo']",28,Santa Cruz County Regional Occupation Program,masters,"I'm Fred Savage, a 28-year-old with a passion for learning and a knack for picking up various skills along the way. I've spent some time honing my abilities in ice skating, aerospace, and even flying, which has been a thrilling adventure. Graffiti art has also captured my interest, allowing me to express my creativity in vibrant ways. I attended the Santa Cruz County Regional Occupation Program, where I deepened my understanding of several fields. While I enjoy sharing what I know, I’m always on the lookout for new knowledge, especially when it comes to sea glass collecting and judo. I believe that the best way to grow is by learning from others, so I keep my ears open for insights and tips. Whether it's exchanging techniques on the ice, discussing aerospace innovations, or exploring the intricacies of martial arts, I'm eager to connect with people who can help me expand my horizons. Each interaction is an opportunity to refine my skills and discover new passions."
Fritz Lang,"['Sun bathing', 'Bridge', 'Automobilism', 'Table tennis playing']","['Baking', 'Flying model planes']",67,UCSC - University of California at Santa Cruz,phd,"I’m Fritz Lang, and at 67, I find myself constantly chasing new experiences and knowledge. I spent some time at UCSC, where I delved into my PhD studies, and it really shaped my perspective on learning. I enjoy sharing what I know, whether it's the perfect sunbathing technique, strategies for bridge, insights into automobilism, or tips for playing table tennis. But I’m not one to rest on my laurels; I’m always on the lookout for fresh skills to acquire. Lately, I’ve been intrigued by the art of baking—there’s something appealing about the precision and creativity it demands. I also have a growing interest in flying model planes; it seems like a fascinating blend of engineering and fun. I believe the best way to improve is through collaboration and learning from others, so if you’re passionate about baking or model aviation, I’d love to connect and exchange ideas."
George Lucas,"['Airsoft', 'Squash']",['Geocaching'],23,Santa Cruz County Regional Occupation Program,,"I'm George Lucas, a 23-year-old currently navigating life with a keen interest in honing my skills and learning from those around me. I’ve spent a good chunk of my time diving into airsoft and squash, both of which I enjoy sharing with others—there’s something about the camaraderie in sports that really resonates with me. I'm always on the lookout for new experiences and knowledge, and one skill that has piqued my interest lately is geocaching. It seems like a unique blend of adventure and problem-solving, and I’d love to connect with someone who can guide me through it. I’m currently enrolled in the Santa Cruz County Regional Occupation Program, where I’m soaking up as much information as I can. Life is a constant learning curve, and I appreciate the opportunity to grow alongside others who share that same passion for improvement."
Gene Kelly,"['Netball', 'Benchmarking', 'Pole dancing', 'Magnet fishing']","['Cartophily\xa0(card collecting)', 'Parkour', 'Blacksmithing']",20,"CSUMB - California State University, Monterey Bay",phd,"I’m Gene Kelly, a 20-year-old PhD student at California State University, Monterey Bay, where I’m diving deep into my studies while also exploring various skills outside of the classroom. I’ve developed a knack for netball, and I enjoy benchmarking processes that can help streamline tasks. I’ve even taken up pole dancing—it's a great way to stay fit and challenge myself. On weekends, you might catch me magnet fishing, searching for hidden treasures in local waters. While I’m all about sharing what I know, I’m also on the lookout for opportunities to learn from others. I’ve always been fascinated by cartophily, and I think it would be incredible to master parkour as well. The art of blacksmithing has also piqued my interest, and I’d love to find someone willing to teach me the ropes. I believe that everyone has something valuable to share, and I’m eager to connect with others who can help me grow in these areas."
Garth Brooks,"['Trapshooting', 'Video game collecting', 'Table tennis playing', 'Airsoft']","['Powerboat racing', 'Aircraft spotting', 'Beekeeping']",88,UCSC - University of California at Santa Cruz,,"I’m Garth Brooks, an 88-year-old with a passion for learning and sharing what I know. I’ve spent years honing my skills in trapshooting and have developed quite the collection of video games that I love to chat about. When it comes to table tennis, you can find me at the local community center, always ready for a match. I also enjoy the thrill of airsoft, where strategy and teamwork come into play. Despite my experience, I’m always on the lookout for new challenges and opportunities to learn from others. I’ve got my eye on powerboat racing and aircraft spotting—there’s something exhilarating about speed and observation that intrigues me. And then there’s beekeeping, which seems both rewarding and fascinating. I attended UCSC, though I can’t say I was there long enough to make a mark. Still, I value the idea of community learning and thrive in environments where knowledge flows freely."
George R. R. Martin,['Radio-controlled model playing'],"['Marbles', 'Pool', 'publishing']",33,"CSUMB - California State University, Monterey Bay",masters,"I’m George R. R. Martin, and at 33, I find myself constantly exploring new interests and honing my skills. Currently, I’ve developed a knack for radio-controlled model playing, which has become a fun way to express my creativity and technical abilities. I’m always eager to share what I know with others, believing that teaching is just as valuable as learning. On that note, I’m also on the lookout for opportunities to dive into marbles, pool, and the intricacies of publishing—skills I think could really expand my horizons. Having pursued my master’s at California State University, Monterey Bay, I’ve learned that collaboration and learning from those around me can lead to unexpected growth. Whether it’s about perfecting a model’s performance or understanding the nuances of a game, I’m ready to absorb knowledge from anyone willing to share. Life’s too short to stop learning, and I’m all about finding ways to improve and connect through shared experiences."
Garry Trudeau,"['Road biking', 'Hooping', 'Beekeeping', 'Tennis polo', 'Knife collecting']","['Fishing', 'Renaissance fair', 'Airsoft']",44,Cabrillo College,phd,"I’m Garry Trudeau, a 44-year-old lifelong learner and a bit of a jack-of-all-trades. My journey has taken me through various interests, from road biking to beekeeping, and I find joy in sharing my experiences, especially in hooping and tennis polo. There’s something about the rhythm of these activities that keeps me grounded. I’ve spent a good chunk of my time at Cabrillo College, diving deep into my studies, which has only fueled my curiosity about the world around me. While I love teaching others what I know, I’m always on the lookout for new skills to pick up. Fishing, for instance, has always intrigued me, but I’ve yet to cast my first line. I also have a soft spot for the creativity of Renaissance fairs and the strategic fun of airsoft. Learning from others who have mastered these skills is something I genuinely look forward to, as I believe there’s always room for growth and new perspectives."
Grover Cleveland,"['Cribbage', 'Volleyball']","['Car tuning', 'Shooting sports']",23,Cabrillo College,masters,"I’m Grover Cleveland, a 23-year-old currently pursuing my master's degree at Cabrillo College. I’ve always been passionate about learning, and I think there’s no better way to improve than by sharing knowledge with others. I enjoy teaching cribbage and volleyball, both of which have taught me about strategy and teamwork in their own unique ways. While I’m comfortable sharing what I know, I’m eager to expand my skill set as well. I’ve got a growing interest in car tuning and shooting sports, and I’m on the lookout for someone who can help me navigate those areas. Balancing my studies with my hobbies keeps me motivated, and I find that each experience contributes to my overall growth. I appreciate the journey of learning from others and look forward to what new skills I can pick up along the way."
George Peppard,"['Tai chi', 'Cribbage', 'Table tennis playing']","['Fruit picking', 'Backpacking']",49,UCSC - University of California at Santa Cruz,undergraduate,"I’m George Peppard, a 49-year-old with a knack for Tai Chi, Cribbage, and table tennis. My journey started at the University of California at Santa Cruz, where I explored various interests and picked up skills that have stuck with me over the years. I enjoy sharing what I know, whether it's the art of Tai Chi or the strategies of Cribbage; there's something rewarding about teaching and connecting with others through these activities. On the flip side, I’m always on the lookout to expand my own horizons. Lately, I’ve been intrigued by fruit picking and backpacking, and I often find myself wishing I could learn those from someone who has experience. I believe that learning is a two-way street, and I’m eager to tap into the knowledge of others while sharing my own. Life’s too short to stop growing, and I’m all about finding those opportunities to learn and teach along the way."
Gene Hackman,"['Flower collecting and pressing', 'Comic book collecting']",['Shooting sports'],51,Santa Cruz County Regional Occupation Program,undergraduate,"I’m Gene Hackman, and at 51, I’ve developed a few passions that keep life interesting. Growing up, I found solace in flower collecting and pressing, a hobby that has transformed into a way to connect with nature and share beauty with others. I also have a solid collection of comic books that reflects my love for storytelling and art. My time at the Santa Cruz County Regional Occupation Program gave me a solid foundation, but I’ve always believed that learning should never stop. I’m eager to expand my horizons, particularly when it comes to shooting sports. I’ve watched countless videos and read articles, but there’s something invaluable about learning directly from someone who knows the ropes. I appreciate the skills I have, and I’m always on the lookout for opportunities to enhance my knowledge and techniques. There’s a thrill in connecting with others and exchanging insights, and I look forward to what the future holds as I continue to grow and learn."
Grace Hopper,"['publishing', 'Comic book collecting', 'Speed skating', 'People-watching']","['Go', 'Bus spotting', 'Chess', 'Foraging']",90,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m Grace Hopper, and at 90, I've gathered a diverse set of interests and experiences that keep me engaged. My journey has taken me from the classrooms of California State University, Monterey Bay, to various corners of life where I've honed skills in publishing, comic book collecting, speed skating, and a bit of people-watching. I find observing the world around me to be endlessly fascinating. However, my thirst for knowledge hasn’t waned with age. I’m always eager to learn new things from others, especially when it comes to skills like Go, chess, and even foraging. I have a particular fondness for unique hobbies, like bus spotting, which adds a layer of excitement to my days. I believe that sharing knowledge enriches both the teacher and the student, and I'm always looking to connect with people who can introduce me to new passions. Whether it’s discussing the intricacies of a good comic or hitting the rink for some speed skating, I find joy in both the learning and the sharing."
Gary Kildall,['Scuba diving'],['Billiards'],37,"CSUMB - California State University, Monterey Bay",undergraduate,"I’m Gary Kildall, a 37-year-old who has found a passion for scuba diving over the years. I studied at California State University, Monterey Bay, where I dived deep into my interests, but I always felt there was more to learn beyond the classroom. I enjoy sharing what I've picked up about diving, whether it's about the gear or the best local spots to explore underwater. While I’m confident in teaching others about diving, I have my own list of skills I want to master. Billiards has always intrigued me, and I’m eager to find someone who can break down the nuances of the game. I believe that learning from others is one of the best ways to grow, and I often seek out new experiences and perspectives. My journey is about exploration, both in the water and in everyday life, as I strive to expand my horizons and become a well-rounded individual."
Gia Carangi,['Medical science'],"['Radio-controlled model playing', 'Gardening']",23,"CSUMB - California State University, Monterey Bay",,"I'm Gia Carangi, a 23-year-old with a strong foundation in medical science. I’ve spent a fair amount of time diving deep into the complexities of the human body and how we can better understand it. It’s fascinating to me how this knowledge can be applied to improve lives, and I’m always up for sharing what I know with others who are interested. But I’m not just about teaching; I’m also eager to learn. There’s a whole world out there that I want to explore, especially when it comes to radio-controlled model playing and gardening. I think there's something rewarding about nurturing plants and watching them flourish, plus the precision and creativity involved in RC models intrigues me. I’m currently honing my skills at California State University, Monterey Bay, where I’m immersed in a community that values both education and growth. I enjoy connecting with others who share similar passions and learning from their experiences, so if you have insights or skills in areas I’m curious about, I’d love to hear from you."
George Cukor,"['Baking', 'Sun bathing', 'Cartophily\xa0(card collecting)', 'Fencing', 'Rughooking']",['Road biking'],50,Santa Cruz County Regional Occupation Program,masters,"I’m George Cukor, and I’ve spent the last 50 years diving into a variety of interests. My journey began at the Santa Cruz County Regional Occupation Program, where I embraced the idea that learning never really stops. I’ve honed my skills in baking, which often leads to some delicious results that I enjoy sharing with friends. Sunbathing is a favorite pastime of mine, allowing me to recharge and appreciate the outdoors. I’ve also developed an appreciation for cartophily, or card collecting, which has become a fascinating way to connect with history. Fencing and rug hooking have added unique layers to my repertoire, blending physical agility with artistic expression. While I enjoy sharing these skills, I’m always on the lookout to expand my horizons. One area I’m particularly eager to explore is road biking; the thrill of hitting the open road and the sense of freedom it brings is something I’d love to experience. Learning from others who have mastered this skill would be invaluable to me as I navigate my own path."
Gavin MacLeod,"['Shooting sports', 'Animal fancy', 'Soccer', 'Hooping']","['Marbles', 'Bus spotting']",97,Santa Cruz County Office of Education,phd,"I’m Gavin MacLeod, a 97-year-old with a lifelong passion for learning and sharing what I know. I’ve spent countless hours honing my skills in shooting sports, animal fancy, soccer, and even hooping. There’s something special about the camaraderie that comes from sharing these interests with others. While I’ve gathered a wealth of knowledge over the years, I’m always eager to improve myself. I’ve got a curiosity for marbles that I hope to explore further, and I wouldn’t mind picking up a few tips on bus spotting, either. My educational journey led me to the Santa Cruz County Office of Education, where I pursued a PhD. It was a fulfilling experience that not only deepened my understanding of various subjects but also reinforced the importance of learning from those around me. I believe that every interaction presents an opportunity to grow, and I look forward to exchanging ideas and skills with anyone who shares a similar passion."
Gary Gygax,"['Rock climbing', 'jurisprudential', 'Table tennis', 'Backgammon']","['Philately', 'Knife collecting', 'Beachcombing']",52,Did not attend college,,"I’m Gary Gygax, and at 52, I've gathered a mix of experiences that have shaped who I am. I’ve always been drawn to challenges, whether it's scaling a rock face or engaging in a strategic game of backgammon. While I didn’t take the traditional route through college, I’ve learned a great deal from the people around me, particularly in areas like jurisprudence and table tennis, which I enjoy sharing with others. I believe that knowledge is best when it's shared, and I’m eager to help anyone interested in honing their skills in these areas. However, there's still so much I want to learn. I find the art of philately fascinating, and I’m curious about knife collecting and the treasures one can find while beachcombing. I’m always on the lookout for opportunities to learn from those who have a passion for these hobbies. Life's a journey, and I’m keen to keep expanding my horizons through the insights of others."
George Pólya,"['Laser tag', 'Tennis polo', 'Dodgeball', 'Marbles', 'Sport stacking']",['Race walking'],18,Santa Cruz County Regional Occupation Program,undergraduate,"I’m George Pólya, an 18-year-old currently navigating my undergraduate journey at Santa Cruz County Regional Occupation Program. I’ve developed a knack for a handful of sports, particularly enjoying laser tag and the unique blend of tennis polo. Dodgeball and marbles also hold a special place in my heart, not to mention sport stacking, which is surprisingly competitive. I’ve always believed that there’s something to learn from everyone, and I actively seek out opportunities to grow my skills. One skill I’m particularly eager to master is race walking; it’s a bit of a niche interest, but I find the technique fascinating and would love to learn from someone experienced. I appreciate the value of sharing knowledge, and I’m always up for teaching others what I know, whether it’s the best strategies for dodgeball or how to stack cups like a pro. I’m looking forward to connecting with others who can offer new insights into the sports I love and help me expand my horizons in areas I’m less familiar with."
George S. Kaufman,"['Table tennis', 'Audiophile']","['Race walking', 'Speedcubing', 'Trapshooting', 'Table tennis playing']",67,Santa Cruz County Office of Education,undergraduate,"I’m George S. Kaufman, and at 67, I find myself constantly drawn to new challenges and the pursuit of knowledge. My journey has led me through various interests, from my love for table tennis to my passion for high-fidelity sound as an audiophile. I’ve spent countless hours refining my skills and enjoy sharing what I know with others, especially when it comes to table tennis. There's something rewarding about seeing someone improve, and I'm always eager to learn from those who have mastered skills I want to tackle myself, like race walking or speedcubing. I went through my undergraduate studies at the Santa Cruz County Office of Education, which sparked my curiosity about learning from different perspectives. I believe there's always room for growth, whether it's in a sport or a hobby, and I’ve got my sights set on expanding my skill set even further, perhaps even diving into trapshooting. Life is too short to stop exploring new avenues, and I look forward to what lies ahead."
George Gershwin,"['Fencing', 'BASE jumping', 'Railway modelling']","['Foraging', 'Motor sports', 'Amusement park visiting']",48,UCSC - University of California at Santa Cruz,masters,"I’m George Gershwin, and I’m 48 years old. I’ve got a diverse set of interests that keep life exciting. I’ve spent quite a bit of time honing my skills in fencing, BASE jumping, and railway modeling, and I enjoy sharing what I’ve learned with others. There’s something satisfying about seeing someone else grasp a technique or concept that took me a while to master. I pursued my master’s degree at UCSC, which was a formative experience that broadened my perspective. Even with all the skills I’ve picked up, I still feel there’s so much more to learn. I’ve got a particular curiosity about foraging—there’s something appealing about connecting with nature that way. Motor sports also intrigue me; the thrill of speed and precision seems like a skill worth acquiring. And let’s not forget the pure joy of amusement park visits—who wouldn’t want to learn the art of maximizing fun at those places? I’m always on the lookout for opportunities to grow, whether it’s through teaching or learning from those around me."
George Dantzig,"['Speed skating', 'Ultimate frisbee', 'Action figure']","['Fossicking', 'Architecture', 'Flying', 'Horseshoes', 'Fossil hunting']",84,Santa Cruz County Regional Occupation Program,undergraduate,"I’m George Dantzig, and at 84, I still find joy in learning and sharing what I know. Throughout my life, I’ve dedicated time to speed skating and ultimate frisbee, both of which have taught me the value of teamwork and perseverance. I’ve even dabbled in collecting action figures, which is more about appreciating the artistry and nostalgia behind them than just the act of collecting. I graduated from the Santa Cruz County Regional Occupation Program, and while I’ve enjoyed my journey so far, I’m always on the lookout for new skills to pick up. There are so many things I’d love to learn from others—fossicking fascinates me, and I’ve always been curious about architecture. The idea of flying is thrilling, and fossil hunting sounds like an adventure waiting to happen. If anyone has knowledge in these areas, I’m all ears. I believe that learning from others enriches the experience, and I'm eager to connect with people who can share their expertise."
Henry Ford,['Railway modelling'],"['Dog walking', 'Sculling\xa0or\xa0rowing', 'Tai chi', 'Fencing', 'Car tuning']",82,Cabrillo College,phd,"I'm Henry Ford, an 82-year-old lifelong learner with a penchant for railway modelling. My journey has taken me through various experiences, but I've always found joy in creating intricate landscapes and models that bring a piece of history to life. I spent some enriching years at Cabrillo College, where I delved deep into my passions, earning my PhD along the way. Even now, I’m eager to expand my horizons further. I wish I could learn to walk dogs with the same ease I build miniature trains, and I’ve always been curious about sculling and rowing—there’s something about the rhythm of the water that fascinates me. Tai chi intrigues me for its balance and grace, while fencing appeals to my strategic side. And I wouldn’t mind picking up some tips on car tuning, as there’s something rewarding about understanding the mechanics under the hood. I believe there’s always something new to learn from others, and I’m keen to connect with those who share my interests or can teach me a thing or two."
Hank Greenberg,['Swimming'],"['Renaissance fair', 'Video game collecting', 'Car tuning']",21,Santa Cruz County Office of Education,masters,"I’m Hank Greenberg, a 21-year-old currently pursuing my master's at the Santa Cruz County Office of Education. My journey has led me to develop a knack for swimming, which I enjoy sharing with others. There's something fulfilling about helping someone improve their technique or conquer their fears in the water. But I’m also on the lookout for new skills to learn. I’ve always been fascinated by Renaissance fairs and would love to dive into the intricacies of that world—everything from the costumes to the history. Video game collecting intrigues me too; there’s just something about the nostalgia and the thrill of finding rare titles that captures my interest. And then there’s car tuning, which seems like an art form I want to master. I believe there’s always something to gain from connecting with others who have different expertise. Learning from them not only broadens my horizons but also keeps things fresh and exciting. I'm excited to see where this journey will take me next."
Hugo Gernsback,"['Geocaching', 'Sled dog racing', 'jurisprudential', 'Radio-controlled model playing', 'Guerrilla gardening']","['Figure Skating', 'Speed skating', 'Hooping', 'Architecture']",90,UCSC - University of California at Santa Cruz,masters,"I’m Hugo Gernsback, and at 90 years old, I’ve gathered a diverse set of interests and skills along the way. My journey has taken me from my time at UCSC, where I dug deep into jurisprudence, to the thrill of geocaching and even the excitement of sled dog racing. I’ve found joy in sharing these experiences with others, particularly when it comes to radio-controlled model playing and guerrilla gardening—there’s something uniquely satisfying about nurturing life in unexpected places. However, I’m always on the lookout for new opportunities to expand my horizons. I often think about how fascinating it would be to learn figure skating or speed skating, and I’ve developed a curiosity for hooping and architecture as well. Engaging with others who can teach me these skills is something I truly value. It’s all about the exchange of knowledge and experiences, and I find that learning from the people around me keeps life vibrant and interesting."
Herbert Hoover,"['Baton twirling', 'Handball', 'Guerrilla gardening']","['Speed skating', 'Pickleball', 'Sports science', 'Climbing']",97,Did not attend college,,"I’m Herbert Hoover, and at 97, I’ve spent a good part of my life exploring various interests and picking up skills along the way. I’ve dabbled in baton twirling, handball, and even guerrilla gardening. Each of these has taught me something different, and I enjoy sharing what I know with others. However, I’m always on the lookout for new skills to learn myself. I’ve recently developed a keen interest in speed skating and pickleball—two activities that seem to blend fun with a good workout. I find the science behind sports fascinating, and I’d love to delve deeper into that area, maybe even take up climbing one day. I didn’t attend college, but I believe that learning is a lifelong journey, and there’s always something new to discover. Engaging with others who are passionate about their own skills is one of the best ways to grow, and I’m eager to keep that exchange going."
